candidate,taxonA,taxonB,age_min,age_max
MCMCTree,Syngnathidae_Syngnathus_louisianae_CEO104,Bramidae_Taractichthys_longipinnis_CEO67,92,103.5
MCMCTree,Syngnathidae_Syngnathus_louisianae_CEO104,Pegasidae_Eurypegasus_draconis_CEO49,83.6,
RelTime,Syngnathidae_Syngnathus_louisianae_CEO104,Pegasidae_Eurypegasus_draconis_CEO49,83.6,
MCMCTree,Solenostomidae_Solenostomus_cyanopterus_CEO37,Syngnathidae_Syngnathus_louisianae_CEO104,48.5,83.6
RelTime,Solenostomidae_Solenostomus_cyanopterus_CEO37,Syngnathidae_Syngnathus_louisianae_CEO104,48.5,83.6
MCMCTree,Syngnathidae_Hippocampus_abdominalis_CEO144,Syngnathidae_Hippocampus_kuda_CEO52,11.6,48.5
RelTime,Syngnathidae_Hippocampus_abdominalis_CEO144,Syngnathidae_Hippocampus_kuda_CEO52,11.6,48.5
MCMCTree,Aulostomidae_Aulostomus_maculatus_CEO156,Centriscidae_Aeoliscus_strigatus_CEO32,61.5,83.6
RelTime,Aulostomidae_Aulostomus_maculatus_CEO156,Centriscidae_Aeoliscus_strigatus_CEO32,61.5,83.6
MCMCTree,Fistulariidae_Fistularia_corneta_CEO62,Aulostomidae_Aulostomus_maculatus_CEO156,48.5,61.5
RelTime,Fistulariidae_Fistularia_corneta_CEO62,Aulostomidae_Aulostomus_maculatus_CEO156,48.5,61.5
MCMCTree,Pegasidae_Pegasus_volitans_CEO58,Dactylopteridae_Dactylopterus_volitans_CEO70,54,83.6
RelTime,Pegasidae_Pegasus_volitans_CEO58,Dactylopteridae_Dactylopterus_volitans_CEO70,54,83.6
MCMCTree,Draconettidae_Draconetta_xenica_CSIROGT11264,Callionymidae_Callionymus_scaber_CEO64,48.5,83.6
RelTime,Draconettidae_Draconetta_xenica_CSIROGT11264,Callionymidae_Callionymus_scaber_CEO64,48.5,83.6
MCMCTree,Centriscidae_Aeoliscus_strigatus_CEO32,Centriscidae_Macroramphosus_gracilis_CEO68,48.5,61.5
RelTime,Centriscidae_Aeoliscus_strigatus_CEO32,Centriscidae_Macroramphosus_gracilis_CEO68,48.5,61.5
MCMCTree,Mullidae_Upeneichthys_stotti_CSIROGT5950,Mullidae_Mullus_auratus_CEO95,13,83.6
RelTime,Mullidae_Upeneichthys_stotti_CSIROGT5950,Mullidae_Mullus_auratus_CEO95,13,83.6
MCMCTree,Syngnathidae_Nerophis_ophidion_CEO112,Syngnathidae_Entelurus_aequoreus_CEO113,13.5,48.5
RelTime,Syngnathidae_Nerophis_ophidion_CEO112,Syngnathidae_Entelurus_aequoreus_CEO113,13.5,48.5
MCMCTree,Mullidae_Mulloidichthys_martinicus_CEO27,Mullidae_Mulloidichthys_dentatus_CEO43,2.8,
RelTime,Mullidae_Mulloidichthys_martinicus_CEO27,Mullidae_Mulloidichthys_dentatus_CEO43,2.8,
MCMCTree,Mullidae_Mulloidichthys_martinicus_CEO27,Mullidae_Mulloidichthys_vanicolensis_CEO44,2.8,
RelTime,Mullidae_Mulloidichthys_martinicus_CEO27,Mullidae_Mulloidichthys_vanicolensis_CEO44,2.8,
MCMCTree,Syngnathidae_Hippocampus_ingens_CEO39,Syngnathidae_Hippocampus_reidi_CEO53,2.8,
RelTime,Syngnathidae_Hippocampus_ingens_CEO39,Syngnathidae_Hippocampus_reidi_CEO53,2.8,
