"taxonA","taxonB","age_min","age_max","tree_mrca","node_age","ghost_gap_ma_raw","gap_mode_row","ghost_gap_ma","ghost_relmin","window_width","window_position","min_violation_ma","max_violation_ma","within_bounds","candidate"
"Syngnathidae_Syngnathus_louisianae_CEO104","Pegasidae_Eurypegasus_draconis_CEO49",83.6,NA,166,86.84932059,3.24932059,"window",3.24932059,0.0388674711722488,NA,NA,0,NA,NA,"RelTime"
"Solenostomidae_Solenostomus_cyanopterus_CEO37","Syngnathidae_Syngnathus_louisianae_CEO104",48.5,83.6,179,78.285056475,29.785056475,"window",29.785056475,0.614124875773196,35.1,0.848577107549857,0,0,TRUE,"RelTime"
"Syngnathidae_Hippocampus_abdominalis_CEO144","Syngnathidae_Hippocampus_kuda_CEO52",11.6,48.5,220,14.137255126,2.537255126,"window",2.537255126,0.218728890172414,36.9,0.0687603015176152,0,0,TRUE,"RelTime"
"Aulostomidae_Aulostomus_maculatus_CEO156","Centriscidae_Aeoliscus_strigatus_CEO32",61.5,83.6,168,78.355301595,16.855301595,"window",16.855301595,0.274069944634146,22.1,0.762683330090497,0,0,TRUE,"RelTime"
"Fistulariidae_Fistularia_corneta_CEO62","Aulostomidae_Aulostomus_maculatus_CEO156",48.5,61.5,169,65.489542865,16.989542865,"window",16.989542865,0.350299852886598,13,1.30688791269231,0,3.98944286499999,FALSE,"RelTime"
"Pegasidae_Pegasus_volitans_CEO58","Dactylopteridae_Dactylopterus_volitans_CEO70",54,83.6,251,81.003799852,27.003799852,"window",27.003799852,0.500070367629629,29.6,0.91229053554054,0,0,TRUE,"RelTime"
"Draconettidae_Draconetta_xenica_CSIROGT11264","Callionymidae_Callionymus_scaber_CEO64",48.5,83.6,294,67.349314934,18.849314934,"window",18.849314934,0.388645668742268,35.1,0.53701751948718,0,0,TRUE,"RelTime"
"Centriscidae_Aeoliscus_strigatus_CEO32","Centriscidae_Macroramphosus_gracilis_CEO68",48.5,61.5,172,59.577207265,11.077207265,"window",11.077207265,0.228396026082474,13,0.852092866538461,0,0,TRUE,"RelTime"
"Mullidae_Upeneichthys_stotti_CSIROGT5950","Mullidae_Mullus_auratus_CEO95",13,83.6,275,15.935571071,2.935571071,"window",2.935571071,0.225813159307692,70.6,0.0415803267847025,0,0,TRUE,"RelTime"
"Syngnathidae_Nerophis_ophidion_CEO112","Syngnathidae_Entelurus_aequoreus_CEO113",13.5,48.5,183,16.550552545,3.050552545,"window",3.050552545,0.225966855185185,35,0.0871586441428572,0,0,TRUE,"RelTime"
"Mullidae_Mulloidichthys_martinicus_CEO27","Mullidae_Mulloidichthys_dentatus_CEO43",2.8,NA,272,2.878081458,0.0780814579999971,"window",0.0780814579999971,0.027886234999999,NA,NA,0,NA,NA,"RelTime"
"Mullidae_Mulloidichthys_martinicus_CEO27","Mullidae_Mulloidichthys_vanicolensis_CEO44",2.8,NA,273,2.878081458,0.0780814579999971,"window",0.0780814579999971,0.027886234999999,NA,NA,0,NA,NA,"RelTime"
"Syngnathidae_Hippocampus_ingens_CEO39","Syngnathidae_Hippocampus_reidi_CEO53",2.8,NA,228,3.84887161699999,1.04887161699999,"window",1.04887161699999,0.374597006071424,NA,NA,0,NA,NA,"RelTime"
"Syngnathidae_Syngnathus_louisianae_CEO104","Bramidae_Taractichthys_longipinnis_CEO67",92,103.5,165,94.4571,2.45710000000003,"window",2.45710000000003,0.0267076086956524,11.5,0.21366086956522,0,0,TRUE,"MCMCTree"
