method,bar_id,y_center_px,width_px,width_Ma_approx
MCMCTree,1,172.5,10,2.04
MCMCTree,2,184,28,5.71
MCMCTree,3,197,8,1.63
MCMCTree,4,210,33,6.73
MCMCTree,5,219.5,45,9.18
MCMCTree,6,221.5,43,8.78
MCMCTree,7,223.5,42,8.57
MCMCTree,8,287,36,7.35
MCMCTree,9,292,32,6.53
MCMCTree,10,308.5,39,7.96
MCMCTree,11,325,36,7.35
MCMCTree,12,328.5,36,7.35
MCMCTree,13,331,32,6.53
MCMCTree,14,332.5,37,7.55
MCMCTree,15,335,36,7.35
MCMCTree,16,337,32,6.53
MCMCTree,17,338.5,28,5.71
MCMCTree,18,350.5,25,5.1
MCMCTree,19,359,38,7.76
MCMCTree,20,359,30,6.12
MCMCTree,21,360,33,6.73
MCMCTree,22,361,34,6.94
MCMCTree,23,361,34,6.94
MCMCTree,24,362,33,6.73
MCMCTree,25,362,33,6.73
MCMCTree,26,364.5,36,7.35
MCMCTree,27,379,35,7.14
MCMCTree,28,380,35,7.14
MCMCTree,29,381,35,7.14
MCMCTree,30,383,35,7.14
MCMCTree,31,392.5,33,6.73
MCMCTree,32,397.5,25,5.1
MCMCTree,33,403,26,5.31
MCMCTree,34,410,28,5.71
MCMCTree,35,430,38,7.76
MCMCTree,36,432,35,7.14
MCMCTree,37,433,33,6.73
MCMCTree,38,433,38,7.76
MCMCTree,39,435,35,7.14
MCMCTree,40,439,19,3.88
MCMCTree,41,458,33,6.73
MCMCTree,42,481,39,7.96
MCMCTree,43,482,39,7.96
MCMCTree,44,482,24,4.9
MCMCTree,45,483,41,8.37
MCMCTree,46,483,24,4.9
MCMCTree,47,485,38,7.76
MCMCTree,48,485,24,4.9
MCMCTree,49,486,37,7.55
MCMCTree,50,486,24,4.9
MCMCTree,51,487,37,7.55
MCMCTree,52,487,24,4.9
MCMCTree,53,495.5,32,6.53
MCMCTree,54,502,9,1.84
MCMCTree,55,509,32,6.53
MCMCTree,56,529.5,34,6.94
MCMCTree,57,531,31,6.33
MCMCTree,58,531,32,6.53
MCMCTree,59,532,31,6.33
MCMCTree,60,533,32,6.53
MCMCTree,61,534,30,6.12
MCMCTree,62,534,32,6.53
MCMCTree,63,536.5,32,6.53
MCMCTree,64,543.5,31,6.33
MCMCTree,65,546,30,6.12
MCMCTree,66,546,36,7.35
MCMCTree,67,547,30,6.12
MCMCTree,68,549,34,6.94
MCMCTree,69,557,37,7.55
MCMCTree,70,565,26,5.31
MCMCTree,71,590,33,6.73
MCMCTree,72,597.5,34,6.94
MCMCTree,73,603,33,6.73
MCMCTree,74,605,27,5.51
MCMCTree,75,605,33,6.73
MCMCTree,76,609,33,6.73
MCMCTree,77,617.5,32,6.53
MCMCTree,78,657.5,39,7.96
MCMCTree,79,670,30,6.12
MCMCTree,80,673.5,31,6.33
MCMCTree,81,723.5,29,5.92
MCMCTree,82,728.5,31,6.33
MCMCTree,83,735.5,33,6.73
MCMCTree,84,744,30,6.12
MCMCTree,85,750,28,5.71
MCMCTree,86,753.5,29,5.92
MCMCTree,87,780.5,32,6.53
MCMCTree,88,802,19,3.88
MCMCTree,89,828.5,13,2.65
MCMCTree,90,892,26,5.31
MCMCTree,91,895,25,5.1
MCMCTree,92,898.5,40,8.16
MCMCTree,93,906,36,7.35
MCMCTree,94,918,40,8.16
MCMCTree,95,928,24,4.9
MCMCTree,96,952,33,6.73
MCMCTree,97,961.5,25,5.1
MCMCTree,98,975,24,4.9
MCMCTree,99,985.5,20,4.08
MCMCTree,100,1020.5,24,4.9
MCMCTree,101,1027,40,8.16
MCMCTree,102,1078,22,4.49
MCMCTree,103,1111,19,3.88
MCMCTree,104,1137.5,21,4.29
MCMCTree,105,1148.5,42,8.57
MCMCTree,106,1258,31,6.33
MCMCTree,107,1270.5,26,5.31
MCMCTree,108,1278,42,8.57
MCMCTree,109,1284,18,3.67
MCMCTree,110,1296,9,1.84
MCMCTree,111,1302,13,2.65
MCMCTree,112,1308.5,34,6.94
MCMCTree,113,1338,37,7.55
MCMCTree,114,1339,51,10.41
MCMCTree,115,1345.5,30,6.12
MCMCTree,116,1354.5,33,6.73
MCMCTree,117,1363,27,5.51
MCMCTree,118,1375,24,4.9
MCMCTree,119,1376,22,4.49
MCMCTree,120,1377,24,4.9
MCMCTree,121,1379.5,24,4.9
MCMCTree,122,1381.5,24,4.9
MCMCTree,123,1388.5,30,6.12
MCMCTree,124,1392.5,33,6.73
MCMCTree,125,1401,33,6.73
MCMCTree,126,1410,12,2.45
MCMCTree,127,1420.5,30,6.12
MCMCTree,128,1458,33,6.73
MCMCTree,129,1464.5,39,7.96
MCMCTree,130,1471,31,6.33
MCMCTree,131,1479,31,6.33
MCMCTree,132,1492,29,5.92
MCMCTree,133,1511.5,30,6.12
MCMCTree,134,1518.5,40,8.16
MCMCTree,135,1526.5,29,5.92
MCMCTree,136,1543,28,5.71
MCMCTree,137,1552.5,28,5.71
RelTime,1,172.5,29,10.74
RelTime,2,182,14,5.19
RelTime,3,187,13,4.81
RelTime,4,195,10,3.7
