"node","age","ci_lo","ci_hi","se"
106,105.34586,105.34586,105.34586,0
107,54.54822,54.54822,54.54822,93953.9044229503
108,54.548219,0,179187.079210039,91394.1484648157
109,54.548218,0,177253.77067782,90407.7665611327
110,54.548217,0,172081.666257594,87768.9377758131
111,31.2107619653576,0,137759.000310367,70269.2803818375
112,24.7049228719255,0,117344.924052724,59857.2546580879
113,23.8001876603148,0,113290.97306324,57789.3739161121
114,21.9128914048349,0,105401.035852017,53764.8586533738
115,16.3463870833871,0,86934.4214947927,44345.9566876068
116,9.05566110864213,0,59469.8869413885,30337.1588164693
117,6.73703106971647,0,46649.3379596598,23797.2453717296
118,5.9766467940105,0,41803.9839151482,21325.5139124256
119,4.79921374069006,0,34680.7489353651,17691.8110824615
120,4.24161613314491,0,31023.6078528778,15826.2072636453
121,3.41283470030088,0,25870.7630102422,13197.6276405826
122,3.38964732688987,0,27994.8189795515,14281.341496033
123,6.46369243118783,0,44824.4575472417,22866.3233953115
124,4.71392317587379,0,35260.3685799405,17987.5789065126
125,1.16595077374493,0,13135.5091152105,6701.19549205957
126,3.86897941955929,0,35810.5273389897,18268.7032446786
127,0.412590901640052,0,5439.6608243634,2775.12664972539
128,20.4827241133221,0,99259.8563024236,50632.3334583216
129,15.5850940658363,0,83458.086371928,42572.7047336032
130,13.4225951239806,0,74541.4721719766,38024.5150902309
131,21.6696910166934,0,104561.420285768,53336.6074463016
132,19.1981293642601,0,94725.9880198396,48319.7907604466
133,14.6157187243385,0,79420.1210144573,40513.0129059862
134,4.7362142782839,0,41421.8787199604,21131.1951559603
135,18.4775028123163,0,96686.6750127545,49320.508933644
136,12.7836034894678,0,75215.2651816505,38368.6130500822
137,8.54410113757742,0,55799.4178756287,28464.7315175975
138,7.74308104920167,0,50953.7009142783,25992.8356291985
139,7.50387530896946,0,49420.3822800799,25210.6522473321
140,4.89088163706959,0,35365.0073016079,18040.8757244749
141,4.39155043602223,0,31989.3930545876,16318.8783184447
142,4.38980417698478,0,31976.67644505,16312.3911433025
143,2.89369543138095,0,22900.1638609442,11682.2806966902
144,1.88536598886708,0,16348.1937718886,8339.95326831617
145,1.75455464706392,0,16049.7162698795,8187.73556899616
146,2.25526608787033,0,19902.9303932167,10153.4056771065
147,3.5098181000251,0,26412.8357012824,13474.1458587665
148,3.50858550367742,0,26403.5633103286,13469.4156759311
149,2.03325340315279,0,18263.4844618269,9317.06694307333
150,6.2747053071468,0,42518.0500065408,21689.6812761396
151,1.58966714606745,0,16165.3853736372,8246.83454412812
152,0.00118034336101332,0,14.3508122854088,7.32124078675905
153,3.75837531218452,0,33628.7099497415,17155.5875379741
154,3.53963688354743,0,36387.5306360525,18563.2607138617
155,9.28726293629552,0,65250.9026031555,33286.5384388874
156,6.86236652035731,0,51561.978703771,26303.6307843116
157,42.3517108258455,0,153324.04940566,78204.947803487
158,31.7486679289397,0,133689.296748831,68192.6265718887
159,26.9739449335196,0,118859.275868439,60628.7254711763
160,22.2377363910451,0,104210.408836502,53157.2301531179
161,7.17617400164468,0,56642.4222532302,28895.5337138921
162,4.74375826119742,0,40840.1300695414,20834.3807710613
163,13.7622173014922,0,84082.2584216263,42892.0899001657
164,19.9747929045852,0,100200.724119382,51112.6272073862
165,17.7752854790039,0,91148.630025046,46495.3340507995
166,3.68400879512296,0,35019.7276210816,17865.3283736155
167,2.40279866541423,0,24331.3423604774,12412.7242662306
168,43.5173875326243,0,157148.879974607,80155.797238303
169,26.7095978593753,0,134848.604950871,68786.6813025567
170,7.2853,7.2853,7.2853,46540.412046303
171,7.285299,0,78909.6658895747,40256.3166278442
172,7.285298,0,65040.8468427825,33180.3885432564
173,5.37863400184616,0,39475.5828934436,20137.8593160417
174,3.14635656279731,0,26591.6664440939,13565.5714732301
175,4.98381220340634,0,36145.3944384479,18438.98501339
176,2.89462063754652,0,24632.2715693268,12566.0086472904
177,28.4352574902002,0,143079.149639389,72985.0583581119
178,54.548218,0,175920.634927895,89727.5952601503
179,54.548217,0,162388.741603503,82823.5680543383
180,48.123455643262,0,152842.870469585,77956.5035785419
181,40.6833629125043,0,141964.336382699,72410.0270509114
182,31.7244578981967,0,131555.259160381,67103.8442359606
183,54.548216,0,154225.00484931,78658.3962414845
184,27.1006050909239,0,158731.875711239,80971.8240337489
185,23.19835,23.19835,23.19835,83167.2686902911
186,23.198349,0,154797.732066381,78966.5988353983
187,23.198348,0,126324.701813708,64439.5425845449
188,23.198347,0,118818.989869316,60610.0977154674
189,1.73870178809874,0,11691.6407359412,5964.23573171076
190,54.548219,0,174680.567798736,89094.9079488451
191,44.4068848596979,0,158353.83688981,80770.1173494644
