"taxonA","taxonB","age_min","age_max","tree_mrca","node_age","ghost_gap_ma_raw","gap_mode_row","ghost_gap_ma","ghost_relmin","window_width","window_position","min_violation_ma","max_violation_ma","within_bounds","candidate"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.34586001,0,"point",0,0,0,NA,0,0,TRUE,"chronos_discrete"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.54822001,0,"point",0,0,0,NA,0,0,TRUE,"chronos_discrete"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,45.192475089,6.05169508899999,"point",6.05169508899999,0.15461355366449,0,NA,0,6.05159508899999,FALSE,"chronos_discrete"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,45.192475089,10.057515089,"point",10.057515089,0.286253779398069,0,NA,0,10.057415089,FALSE,"chronos_discrete"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198350014,0,"point",0,0,0,NA,0,0,TRUE,"chronos_discrete"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.2853000042,0,"point",0,0,0,NA,0,0,TRUE,"chronos_discrete"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.345860008,0,"point",0,0,0,NA,0,0,TRUE,"chronos_clock"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.548220008,0,"point",0,0,0,NA,0,0,TRUE,"chronos_clock"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,45.194293379,6.053513379,"point",6.053513379,0.154660008793897,0,NA,0,6.053413379,FALSE,"chronos_clock"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,45.194293379,10.059333379,"point",10.059333379,0.286305530986801,0,NA,0,10.059233379,FALSE,"chronos_clock"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198350007,0,"point",0,0,0,NA,0,0,TRUE,"chronos_clock"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.2853000028,0,"point",0,0,0,NA,0,0,TRUE,"chronos_clock"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.345860014,0,"point",0,0,0,NA,0,0,TRUE,"chronos_correlated"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.548220014,0,"point",0,0,0,NA,0,0,TRUE,"chronos_correlated"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,26.918645341,-12.222134659,"point",12.222134659,0.31226088644631,0,NA,12.222034659,0,FALSE,"chronos_correlated"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,26.918645341,-8.21631465899998,"point",8.21631465899998,0.233850121332143,0,NA,8.21621465899998,0,FALSE,"chronos_correlated"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198350004,0,"point",0,0,0,NA,0,0,TRUE,"chronos_correlated"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.285300011,0,"point",0,0,0,NA,0,0,TRUE,"chronos_correlated"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.345860011,0,"point",0,0,0,NA,0,0,TRUE,"chronos_relaxed"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.548220011,0,"point",0,0,0,NA,0,0,TRUE,"chronos_relaxed"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,26.918645338,-12.222134662,"point",12.222134662,0.312260886522956,0,NA,12.222034662,0,FALSE,"chronos_relaxed"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,26.918645338,-8.216314662,"point",8.216314662,0.233850121417528,0,NA,8.216214662,0,FALSE,"chronos_relaxed"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198350001,0,"point",0,0,0,NA,0,0,TRUE,"chronos_relaxed"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.28530000900001,0,"point",0,0,0,NA,0,0,TRUE,"chronos_relaxed"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.345862,0,"point",0,0,0,NA,0,0,TRUE,"treePL"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.548222,0,"point",0,0,0,NA,0,0,TRUE,"treePL"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,44.251719,5.110939,"point",5.110939,0.130578363537977,0,NA,0,5.110839,FALSE,"treePL"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,44.251719,9.116759,"point",9.116759,0.259478280322505,0,NA,0,9.116659,FALSE,"treePL"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198351,0,"point",0,0,0,NA,0,0,TRUE,"treePL"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.285302,0,"point",0,0,0,NA,0,0,TRUE,"treePL"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Centrarchidae_Lepomis_macrochirus",105.34586,105.34586,106,105.345860007,0,"point",0,0,0,NA,0,0,TRUE,"RelTime"
"Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris","Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus",54.54822,54.54822,107,54.548220007,0,"point",0,0,0,NA,0,0,TRUE,"RelTime"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Dichistiidae_Dichistius_capensis",39.14078,39.14078,179,54.548217007,15.407437007,"point",15.407437007,0.39364154232491,0,NA,0,15.407337007,FALSE,"RelTime"
"Eupercaria_Centrarchiformes_Microcanthidae_Microcanthus_strigatus","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_conwayi",35.13496,35.13496,179,54.548217007,19.413257007,"point",19.413257007,0.552533915137516,0,NA,0,19.413157007,FALSE,"RelTime"
"Oplegnathidae_Oplegnathus_woodwardi","Eupercaria_Centrarchiformes_Oplegnathidae_Oplegnathus_insignis",23.19835,23.19835,185,23.198350007,0,"point",0,0,0,NA,0,0,TRUE,"RelTime"
"Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_ocyurus","Eupercaria_Centrarchiformes_Kyphosidae_Kyphosus_bigibbus",7.2853,7.2853,170,7.28530000700002,0,"point",0,0,0,NA,0,0,TRUE,"RelTime"
