"example","set","pulse_family_winner","core_winner"
"terapontoid","default","RelTime","chronos_discrete"
"terapontoid","emd_up","RelTime","chronos_discrete"
"terapontoid","burst_up","RelTime","chronos_discrete"
"terapontoid","centroid_up","RelTime","chronos_discrete"
"terapontoid","centroid_zero","RelTime","chronos_discrete"
"syngnatharia","default","RelTime","RelTime"
"syngnatharia","emd_up","RelTime","RelTime"
"syngnatharia","burst_up","RelTime","RelTime"
"syngnatharia","centroid_up","RelTime","RelTime"
"syngnatharia","centroid_zero","RelTime","RelTime"
